소환사,0승,0패,2018-10-30 07:20:37.344528
hide on bush,806W,736L,2018-10-30 07:21:59.081921
티모,0승,0패,2018-10-30 07:47:29.666585
Faker,0승,0패,2018-10-30 07:48:01.477689
조이,55W,43L,2018-10-30 07:49:00.365350
르블랑,0승,0패,2018-10-30 07:49:08.150536
아지르,0승,0패,2018-10-30 07:50:16.026693
야스오,136W,126L,2018-10-30 07:51:51.920032
탈론,0승,0패,2018-10-30 07:54:20.667921
소환사,0승,0패,2018-10-30 08:32:44.056020
hide on bush,806W,736L,2018-10-30 08:41:58.558047
hide on bush,806W,736L,2018-10-30 08:43:43.087104
